id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Mosquito,100,0,40,2,95,100,37,32,33,32,33,74,21,10,74,19,13,21,1,99,41,59
Human,96,52,54,80,93,96,65,0,74,96,48,62,99,42,95,35,64,53,67,33,81,19
Snake,85,0,21,20,46,35,44,13,50,59,53,10,68,59,35,63,20,80,52,48,79,21
Dog,75,66,53,36,86,32,62,30,94,25,49,17,58,42,78,61,30,57,67,33,71,29
Tsetse Fly,68,0,41,37,44,68,60,22,73,46,40,64,58,42,48,56,17,39,10,90,67,33
Freshwater Snail,68,0,32,37,44,43,78,41,32,78,70,63,28,41,37,46,81,78,27,73,54,46
Assassin Bug,68,0,33,57,65,53,34,18,70,78,31,11,24,34,40,69,18,59,28,72,39,61
Ascaris Roundworm,58,0,34,53,56,65,75,2,19,49,63,19,47,52,40,73,10,43,19,81,21,79
Tapeworm,52,0,36,26,59,83,60,65,82,40,39,52,30,59,20,56,72,12,25,75,47,53
Crocodile,51,0,24,62,43,45,76,11,15,77,28,98,26,33,80,36,43,77,79,21,88,12
Hippopotamus,46,9,49,54,52,75,39,52,52,71,77,91,41,39,28,58,12,99,84,16,86,14
Elephant,46,10,35,82,42,70,81,0,34,91,24,47,19,57,50,50,100,72,86,14,89,11
Lion,34,59,93,48,35,45,70,61,57,39,91,17,65,47,74,67,69,16,70,30,80,20
Cape Buffalo,39,0,32,41,46,45,32,25,73,72,37,59,33,42,79,46,19,66,79,21,80,20
Scorpion,59,0,21,54,40,35,79,31,26,67,82,66,37,80,71,22,31,58,35,65,63,37
Jellyfish,27,0,28,49,58,57,64,63,24,4,57,32,17,62,27,55,17,16,49,51,73,27
Tiger,28,71,49,46,25,33,52,11,28,23,99,13,40,50,35,46,99,15,79,21,80,20
Bear,17,86,56,73,38,63,40,34,31,55,50,38,60,33,58,73,50,19,75,25,83,17
Leopard,20,74,38,26,44,64,33,65,38,31,64,13,41,48,56,35,66,79,67,33,84,16
Wolf,17,90,60,55,59,72,26,18,38,29,33,75,92,42,56,41,53,36,67,33,84,16
Shark,17,0,35,63,43,35,60,55,40,20,20,47,26,65,53,35,66,80,78,22,84,16
Bee,34,0,20,2,44,74,77,20,74,19,67,79,98,34,75,31,15,49,17,83,45,55
Wasp,34,0,48,42,53,73,35,14,50,67,39,35,30,76,42,67,13,32,17,83,48,52
Spider,14,0,45,35,57,40,70,14,53,19,80,33,35,8,64,54,39,38,25,75,46,54
Ant,0,0,32,41,97,85,82,36,49,80,71,73,95,85,23,29,43,32,4,96,37,63
Cheetah,0,0,100,22,46,68,47,45,45,70,85,19,59,82,44,47,15,65,65,35,79,21
Pronghorn,0,0,92,32,63,57,24,43,84,55,35,43,74,44,72,56,61,47,54,46,66,34
Springbok,0,0,26,46,64,73,67,23,83,53,71,75,10,44,56,41,65,51,53,47,68,32
